Id,Location,Latitude,Longitude,Fatalities
351,Ado,6.496396,3.580414,0
352,Ado-Ekiti,7.621,5.2215,0
353,Ado-Ekiti,7.621,5.2215,0
354,Ado-Ekiti,7.621,5.2215,0
355,Ado-Ekiti,7.621,5.2215,1
356,Ado-Ekiti,7.621,5.2215,1
357,Ado-Ekiti,7.621001,5.221495,0
358,Ado-Ekiti,7.621001,5.221495,0
359,Ado-Ekiti,7.621001,5.221495,0
360,Ado-Ekiti,7.621001,5.221495,0
361,Ado-Ekiti,7.621001,5.221495,0
362,Ado-Ekiti,7.621001,5.221495,0
363,Ado-Ekiti,7.621001,5.221495,0
364,Adonga,7.15,33.8833333,1
365,Adrar,27.870924,-0.285634,0
366,Adrar,27.870924,-0.285634,0
367,Adrar,27.870924,-0.285634,0
368,Adzope,6.10694,-3.86194,0
369,Adzunge,11.473372,13.352053,0
370,Af Urur,10.07,50.18,7
371,Af-Urur,10.07,50.18,0
372,Af-Urur,10.07,50.18,0
373,Af-Urur,10.07,50.18,0
374,Af-Urur,10.07,50.18,3
375,Af-Urur,10.07,50.18,73
376,Af-Urur,10.07,50.18,73
377,Afade,12.219793,14.654289,3
378,Afam-Uku,4.78981,7.31126,2
379,Afgooye,2.15,45.116,0
380,Afgooye,2.15,45.116,0
381,Afgooye,2.15,45.116,0
382,Afgooye,2.15,45.116,0
383,Afgooye,2.15,45.116,0
384,Afgooye,2.15,45.116,0
385,Afgooye,2.15,45.116,0
386,Afgooye,2.15,45.116,0
387,Afgooye,2.15,45.116,0
388,Afgooye,2.15,45.116,0
389,Afgooye,2.15,45.116,0
390,Afgooye,2.15,45.116,0
391,Afgooye,2.15,45.116,0
392,Afgooye,2.15,45.116,0
393,Afgooye,2.15,45.116,0
394,Afgooye,2.15,45.116,0
395,Afgooye,2.15,45.116,0
396,Afgooye,2.15,45.116,0
397,Afgooye,2.15,45.116,0
398,Afgooye,2.15,45.116,0
399,Afgooye,2.15,45.116,0
400,Afgooye,2.15,45.116,0
401,Afgooye,2.15,45.116,0
402,Afgooye,2.15,45.116,0
403,Afgooye,2.15,45.116,0
404,Afgooye,2.15,45.116,0
405,Afgooye,2.15,45.116,0
406,Afgooye,2.15,45.116,0
407,Afgooye,2.15,45.116,0
408,Afgooye,2.15,45.116,0
409,Afgooye,2.15,45.116,0
410,Afgooye,2.15,45.116,0
411,Afgooye,2.15,45.116,1
412,Afgooye,2.15,45.116,1
413,Afgooye,2.15,45.116,1
414,Afgooye,2.15,45.116,1
415,Afgooye,2.15,45.116,1
416,Afgooye,2.15,45.116,1
417,Afgooye,2.15,45.116,1
418,Afgooye,2.15,45.116,1
419,Afgooye,2.15,45.116,1
420,Afgooye,2.15,45.116,1
421,Afgooye,2.15,45.116,1
422,Afgooye,2.15,45.116,1
423,Afgooye,2.15,45.116,1
424,Afgooye,2.15,45.116,1
425,Afgooye,2.15,45.116,1
426,Afgooye,2.15,45.116,1
427,Afgooye,2.15,45.116,1
428,Afgooye,2.15,45.116,1
429,Afgooye,2.15,45.116,1
430,Afgooye,2.15,45.116,2
431,Afgooye,2.15,45.116,2
432,Afgooye,2.15,45.116,2
433,Afgooye,2.15,45.116,2
434,Afgooye,2.15,45.116,2
435,Afgooye,2.15,45.116,3
436,Afgooye,2.15,45.116,3
437,Afgooye,2.15,45.116,4
438,Afgooye,2.15,45.116,5
439,Afgooye,2.15,45.116,5
440,Afgooye,2.15,45.116,8
441,Afgooye,2.15,45.116,9
442,Afgooye,2.15,45.116,10
443,Afgooye,2.15,45.116,10
444,Afiesere,5.525161,6.013475,0
445,Afir,36.835531,3.999684,0
446,Afmadow,0.5172,42.071,0
447,Afmadow,0.5172,42.071,0
448,Afmadow,0.5172,42.071,0
449,Afmadow,0.5172,42.071,2
450,Afmadow,0.5172,42.071,10
451,Afmadow,0.5172,42.071,22
452,Afmadow,0.5172,42.071,57
453,Agadez,16.97,7.99,6
454,Agarfa,7.28333,39.81667,0
455,Agarfa,7.28333,39.81667,0
456,Agbani,6.3079,7.55193,0
457,Agbor,6.266193,6.150523,0
458,Agbor,6.266193,6.150523,2
459,Aghbalou,36.4212,4.3547,0
460,Aghbalou,36.4212,4.3547,0
461,Aghbalou,36.4212,4.3547,0
462,Aghbalou,36.4212,4.3547,0
463,Aghbalou,36.4212,4.3547,0
464,Aghbalou,36.4212,4.3547,0
465,Agnibilekrou,7.131132,-3.204147,0
466,Agok,9.3525,28.58139,1
467,Agoro,4.15,32.23,0
468,Agoudou-Manga,5.88229,20.91256,0
469,Agoudou-Manga,5.88229,20.91256,45
470,Agoudou-Manga,5.88229,20.91256,50
471,Agoudou-Manga,5.88229,20.91256,80
472,Aguelhok,19.46949,0.85599,0
473,Aguelhok,19.46949,0.85599,0
474,Aguelhok,19.46949,0.85599,0
475,Aguelhok,19.46949,0.85599,0
476,Aguelhok,19.46949,0.85599,0
477,Aguelhok,19.46949,0.85599,0
478,Aguelhok,19.46949,0.85599,0
479,Aguelhok,19.46949,0.85599,0
480,Aguelhok,19.46949,0.85599,0
481,Aguelhok,19.46949,0.85599,1
482,Aguelhok,19.46949,0.85599,2
483,Aguelhok,19.46949,0.85599,2
484,Aguelhok,19.46949,0.85599,3
485,Aguleri,6.322409,6.890214,2
486,Agwar,8.63052,28.16704,0
487,Ahenkro,7.11461,0.3211,1
488,Ahenkro,7.11461,0.3211,1
489,Ahenkro,7.11461,0.3211,2
490,Ahero,-0.1833,34.9166,0
491,Ahnif,36.33587,4.262202,0
492,Aigbando 1,6.88763,21.76722,3
493,Ain Beida,35.637154,-0.668332,0
494,Ain Beida,35.796389,7.392778,0
495,Ain Beida,35.79639,7.39278,1
496,Ain Beida,35.79639,7.39278,1
497,Ain Benian,36.80277,2.92185,0
498,Ain Benian,36.80277,2.92185,4
499,Ain Berda,36.65,7.5833,0
500,Ain Bessem,36.29333,3.67319,0
501,Ain Bouyahia,36.28791,1.76697,1
502,Ain Defla,36.26405,1.9679,0
503,Ain Defla,36.26405,1.9679,0
504,Ain Defla,36.26405,1.9679,1
505,Ain Defla,36.26405,1.9679,3
506,Ain Defla,36.26405,1.9679,3
507,Ain Defla,36.26405,1.9679,3
508,Ain Defla,36.26405,1.9679,4
509,Ain Djerboua,35.25558,7.12601,0
510,Ain Djerboua,35.25558,7.126012,0
511,Ain Draham,36.77873,8.68735,0
512,Ain Draham,36.77873,8.68735,0
513,Ain Draham,36.77873,8.68735,0
514,Ain Draham,36.77873,8.68735,0
515,Ain el Bagra,32.583333,11.516667,0
516,Ain El Hammam,36.56566,4.28401,0
517,Ain El Hammam,36.56566,4.28401,0
518,Ain el Karma,34.40502,7.97092,0
519,Ain el Karma,34.40502,7.97092,0
520,Ain el Turk,35.74381,-0.7693,0
521,Ain el Turk,35.74381,-0.7693,0
522,Ain Fakroun,35.97108,6.87374,0
523,Ain Fakroun,35.97108,6.87374,7
524,Ain Fara,35.3236,8.85136,2
525,Ain Farwa,37.195556,9.765,0
526,Ain Kechra,36.748309,6.432262,0
527,Ain Kechra,36.748309,6.432262,2
528,Ain Legradj,36.41039,4.89188,0
529,Ain Mdila,34.641851,7.410562,2
530,Ain Mlila,36.0369,6.5758,1
531,Ain Nouissy,35.804317,0.045293,0
532,Ain Sefra,32.75,-0.58333,1
533,Ain Sukhna,29.60018,32.31671,0
534,Ain Sukhna,29.60018,32.31671,0
535,Ain Temouchent,35.303428,-1.145166,0
536,Ain Temouchent,35.303428,-1.145166,0
537,Ain Temouchent,35.30343,-1.14517,0
538,Ain Temouchent,35.30343,-1.14517,0
539,Ain Temouchent,35.30343,-1.14517,0
540,Ain Temouchent,35.30343,-1.14517,0
541,Ain Yagout,35.77457,6.416437,0
542,Ain-El-Hammam,36.56471,4.30619,0
543,Ain-El-Hammam,36.56471,4.30619,0
544,Ait Chafaa,36.82055,4.5325,4
545,Ait Laziz,36.44865,3.87714,0
546,Ait Ouabane,36.46667,4.28333,2
547,Aiyam,0.3667,36.55,0
548,Aiyam,0.3667,36.55,0
549,Aiyam,0.3667,36.55,1
550,Aiyede,7.890494,5.336824,0
551,Aiyede,7.890494,5.336824,1
552,Aiyetoro,6.100969,4.77708,0
553,Aiyetoro,7.233333,3.033333,5
554,Aja,13.31308,24.31752,0
555,Aja,13.31308,24.31752,0
556,Ajagba,6.423625,4.923272,1
557,Ajak-kwach,9.267538746,28.79005241,4
558,Ajakuac,9.232,28.589,4
559,Ajakuac,9.232,28.589,0
560,Ajakuac,9.232,28.589,1
561,Ajakuac,9.232,28.589,3
562,Ajaokuta,7.4605,6.6947,1
563,Ajaokuta,7.4605,6.6947,3
564,Ajaokuta,7.4605,6.6947,4
565,Ajaokuta,7.4605,6.6947,5
566,Ajaylat,32.75772,12.37717,0
567,Ajaylat,32.75772,12.37717,0
568,Ajaylat,32.75772,12.37717,0
569,Ajaylat,32.75772,12.37717,0
570,Ajaylat,32.75772,12.37717,1
571,Ajaylat,32.75772,12.37717,1
572,Ajdabiya,30.75545,20.22626,0
573,Ajdabiya,30.75545,20.22626,0
574,Ajdabiya,30.75545,20.22626,0
575,Ajdabiya,30.75545,20.22626,0
576,Ajdabiya,30.75545,20.22626,0
577,Ajdabiya,30.75545,20.22626,0
578,Ajdabiya,30.75545,20.22626,0
579,Ajdabiya,30.75545,20.22626,1
580,Ajdabiya,30.75545,20.22626,1
